user_id,merchant_id,prob
40320,4173,0.0739610882794812
309120,4775,0.06521020474658959
117120,3826,0.03447118134359116
127104,4048,0.2698187736075706
331392,1978,0.026686303655620053
335232,3889,0.02189776698215392
77184,2537,0.02216898288926787
409728,1023,0.04441678600622215
409728,2436,0.024145467943246915
93312,102,0.04337573235309518
368001,2217,0.03087391358615142
237441,4368,0.054530036854478645
377985,1318,0.027756532335278056
321921,361,0.029571308966822592
260481,784,0.07466472496769519
260481,2664,0.1225595615338452
66177,3111,0.010028496012504266
139905,2780,0.024325879529082127
139905,608,0.019057553664620048
139905,3152,0.01817713489523646
274305,141,0.21462825429823834
79233,3239,0.06610070066957068
216705,3016,0.12602341670564898
89985,4842,0.013550548058931317
102018,467,0.06343654102323962
102018,1056,0.01466132058678235
51330,2537,0.032092097428648686
51330,4976,0.07914952955458444
251010,4733,0.03763116372927623
251010,3982,0.03976819034108062
397698,1613,0.014991370817516225
207234,2099,0.07305826023819927
343938,1393,0.04468825228466766
343938,3092,0.047203541638989696
82050,4871,0.08535234131199634
281730,4287,0.06425598580383024
358530,967,0.019576239362855442
242307,3578,0.034109878033235314
390531,3103,0.02085339093185536
71811,296,0.0186787945552142
274563,2397,0.03822645304622026
291459,4826,0.01909325860678811
162435,4512,0.01578710473514535
362628,4048,0.02410161518316798
298884,3225,0.052515349351440345
298884,3828,0.015280635405058857
111492,1840,0.030950163332461707
205188,4044,0.11831829076789442
273540,4765,0.02438133418867768
78468,1075,0.11091086246784446
344196,3734,0.015789209879364177
348804,4170,0.10199190905575306
231813,3828,0.06093527326829803
39813,198,0.010734032092998379
240261,1956,0.17401705567912745
115077,1126,0.17667041185407883
260997,587,0.1143685226579707
260997,4992,0.23034711816954395
131205,951,0.01825456217994868
81285,2031,0.026642515271914097
41094,3134,0.06581182303369082
41094,3623,0.09946135096187639
380550,927,0.07078481129495656
77958,1183,0.03701558266480636
77958,1353,0.05781797090354425
158598,4536,0.03009033929379467
226182,437,0.02555401041169242
102279,4079,0.02969558769075333
106119,3828,0.027833847176421744
106119,2592,0.02016430753323521
114567,1203,0.03271111052407337
377223,3826,0.05346102275302063
377223,4919,0.1216703354809399
377223,962,0.0602372298229634
378759,1884,0.029816384067609315
142983,4143,0.15351941747572814
142983,4173,0.042851944194145744
142983,4949,0.20294117647058824
226695,2928,0.10950226976066506
168840,1501,0.1384456941299142
108168,3057,0.01394071017912658
186504,1999,0.13659731624104937
186504,4992,0.465408379741797
186504,586,0.07293381535038933
186504,2954,0.03702401589112947
20616,1393,0.21754149398783512
153480,2681,0.023700487854230713
419208,4491,0.025082950535084886
292488,2565,0.018063708401099186
196233,337,0.07987677299692283
81801,4558,0.03386138579134091
217737,4022,0.04435998708095622
161673,4282,0.08937563654372191
322698,1020,0.019612466128172152
325770,418,0.018329180713168552
86922,2031,0.019675194995507093
219786,71,0.06792698415674271
166539,2985,0.02663498654175906
189579,2876,0.035226833875122286
6027,897,0.11706498443117708
137355,1384,0.06953082378614293
225675,4760,0.028647309665798305
105612,1713,0.14420752707519552
189324,4043,0.0314559018623712
391308,2608,0.02725503387686451
391308,3885,0.02582291977959202
129420,1489,0.022949454762063143
129420,962,0.07808346873394557
260748,4660,0.004131937291546267
86412,4090,0.028266578630777438
301965,1067,0.031060270405622738
172173,2664,0.017336638170595615
379533,336,0.16541952943757549
60813,3828,0.09363370053095861
4749,3205,0.03770596957934043
